,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
39,-34.365,-34.39,-37.129,-45.976,-47.514,-35.34,-46.136,-37.194,-33.689,-33.687,-46.116,-46.913000000000004,-33.861000000000004,-46.854,-36.358000000000004,-34.608000000000004
40,-46.155,-35.564,-34.652,-46.478,-34.619,-33.741,-34.609,-46.386,-37.594,-33.865,-46.314,-35.032000000000004,-46.197,-46.749,-35.808,-47.125
41,-35.483000000000004,-34.593,-35.516,-46.326,-36.47,-37.363,-46.4,-46.281,-35.777,-36.533,-35.699,-46.327,-46.299,-46.798,-46.579,-35.825
42,-33.604,-34.473,-37.294000000000004,-35.398,-37.354,-33.626,-37.214,-33.712,-36.621,-33.669000000000004,-46.102000000000004,-35.51,-34.982,-33.903,-35.372,-37.656
43,-33.447,-33.47,-35.305,-33.39,-33.42,-46.555,-46.024,-35.441,-34.65,-45.88,-36.407000000000004,-34.57,-45.777,-35.556,-34.826,-46.955
44,-34.464,-34.491,-34.465,-33.493,-33.518,-34.49,-36.296,-36.456,-46.242000000000004,-46.092,-37.431,-33.922000000000004,-46.195,-33.863,-36.492,-47.137
45,-45.946,-45.95,-35.489,-37.224000000000004,-37.36,-37.364000000000004,-34.546,-37.465,-46.349000000000004,-46.207,-34.856,-35.9,-46.314,-36.694,-33.798,-33.905
46,-34.502,-34.545,-46.42,-36.28,-33.603,-35.485,-46.271,-36.467,-33.799,-37.475,-46.301,-34.047000000000004,-37.601,-46.51,-34.706,-47.203
47,-34.479,-45.982,-46.317,-46.183,-34.499,-46.358000000000004,-46.488,-37.318,-37.393,-36.59,-46.14,-46.312,-35.753,-35.660000000000004,-35.512,-33.769
48,-46.33,-45.905,-36.474000000000004,-35.534,-47.526,-36.543,-46.267,-34.753,-46.518,-35.773,-34.025,-46.526,-46.218,-34.991,-46.758,-36.741
49,-46.307,-37.389,-45.981,-34.572,-36.53,-35.621,-46.275,-46.422000000000004,-35.853,-33.89,-36.692,-35.914,-37.863,-37.714,-36.815,-37.696
50,-34.525,-37.25,-46.202,-35.412,-47.435,-33.633,-34.509,-36.538000000000004,-33.926,-36.454,-33.802,-35.551,-46.21,-36.642,-46.563,-47.242000000000004
51,-37.243,-35.346000000000004,-46.244,-35.342,-47.333,-34.466,-33.492,-36.446,-46.057,-34.548,-33.75,-46.349000000000004,-46.194,-33.858000000000004,-34.387,-47.01
52,-36.459,-33.773,-36.463,-35.526,-34.654,-36.544000000000004,-35.56,-46.392,-46.267,-46.192,-46.098,-35.814,-37.885,-35.01,-46.524,-37.766
53,-36.282000000000004,-35.403,-35.410000000000004,-46.253,-47.447,-37.249,-34.443,-35.496,-36.512,-36.405,-34.672000000000004,-46.511,-33.999,-46.615,-34.673,-47.337
54,-35.534,-33.774,-46.362,-37.296,-37.449,-35.625,-46.191,-36.593,-46.304,-46.141,-35.784,-46.606,-37.800000000000004,-33.996,-46.609,-47.282000000000004
55,-45.883,-36.305,-34.453,-46.196,-47.554,-35.43,-46.032000000000004,-35.495,-46.145,-35.577,-34.72,-37.641,-46.276,-46.914,-46.301,-36.535000000000004
56,-34.552,-33.645,-33.594,-46.069,-47.803000000000004,-37.378,-36.372,-35.604,-33.853,-37.554,-46.332,-37.738,-34.037,-46.71,-46.519,-34.81
57,-36.274,-37.183,-45.924,-37.122,-47.634,-46.435,-46.17,-33.666000000000004,-35.589,-35.584,-46.287,-36.7,-34.958,-37.457,-46.489000000000004,-33.821
58,-46.256,-37.162,-46.301,-36.19,-34.405,-37.162,-34.413000000000004,-34.546,-46.255,-33.626,-46.193,-33.805,-34.935,-34.72,-34.714,-34.714
59,-46.176,-45.952,-35.38,-36.249,-47.384,-33.544000000000004,-33.523,-46.653,-46.168,-33.642,-35.551,-37.374,-46.168,-37.465,-36.783,-34.771
